tracking_id	female_flower_early_0	female_flower_early_3	female_flower_early_1	female_flower_early_2	female_flower_late_1	female_flower_late_0	male_flower_0	male_flower_1	male_flower_3	male_flower_2	male_flower_4	male_flower_6	male_flower_5	root_0	root_1	root_2	root_3	vegetative_0	vegetative_1	vegetative_5	vegetative_4	vegetative_3	vegetative_2
Zosma100g00010	102.746	66.7563	86.9637	86.4262	103.097	75.3513	18.1145	36.1425	31.8665	27.7899	31.0219	56.4386	47.6276	31.9233	15.6768	27.3475	10.5869	35.4284	52.7686	46.2194	57.6242	35.9066	28.2884
Zosma100g00020	130.644	180.359	132.541	196.896	205.469	169.374	14.821	27.1069	34.7634	27.7899	27.7565	21.9484	32.3187	93.7747	63.4538	9.40069	40.7189	7.08569	171.063	9.9689	77.4325	3.98962	6.78921
Zosma100g00030	623.96	674.59	652.752	648.522	575.022	644.82	500.62	546.656	402.676	539.451	408.184	424.857	331.692	604.547	665.892	1050.31	815.193	1383.13	642.502	989.64	764.421	1185.92	1503.81
Zosma100g00040	3.40218	121.215	0	0	10.1645	42.6768	118.568	0	1.44848	3.2694	0	17.2451	6.80394	11.3062	85.1028	2531.35	238.613	895.631	786.891	2779.51	2357.19	2475.56	18177
Zosma100g00050	18.3718	87.2516	4.7149	8.44768	8.71246	38.6759	220.668	0	10.1393	11.4429	1.63273	12.5419	8.50493	69.8322	17.9164	269.202	77.3659	185.645	69.585	1724.62	275.516	1491.12	4948.2
Zosma100g00060	784.543	974.993	914.167	672.565	1362.77	1158.28	266.778	185.231	238.999	382.52	272.667	232.025	233.035	890.527	552.421	1052.88	886.044	858.785	829.222	657.947	913.884	803.909	866.756
Zosma100g00070	365.394	390.583	370.382	348.954	378.266	439.438	451.217	524.067	525.797	459.351	564.926	438.967	498.389	637.801	697.992	831.534	836.366	1064.27	469.119	1023.17	687.889	1078.2	1069.3
Zosma100g00080	93.9002	101.306	96.3935	55.8846	105.276	100.024	156.444	140.052	292.592	251.744	403.285	199.103	449.06	144.985	102.273	101.698	165.319	82.1939	127.573	60.7197	132.356	54.8573	148.231
Zosma100g00090	408.942	438.601	439.01	397.691	583.009	434.77	413.341	2660.99	622.845	2355.6	1051.48	2608.72	256.849	841.977	827.886	552.077	1075.79	881.459	394.315	839.2	537.526	852.782	480.902
Zosma100g00100	0	0	0	0	1.45208	0	0	0	0	3.2694	3.26547	1.56774	0	0	0	0.854608	0.814378	56.6855	0.579875	82.47	4.50189	69.8184	20.3676
Zosma100g00110	93.9002	56.2158	61.8176	99.4227	20.3291	44.0105	1052.29	424.675	152.09	240.301	65.3094	322.954	268.756	15.2966	28.3676	49.5673	37.4614	2708.15	332.269	3724.74	1310.95	2691	4509.17
Zosma100g00120	287.825	117.116	178.642	125.416	122.7	123.363	10608.5	29356.8	5014.62	7500.01	3701.41	10126	4376.64	158.951	188.868	315.35	193.008	581.026	188.459	701.448	316.033	601.436	599.713
Zosma100g00130	0	0	0	0	0	0	0	149.088	0	0	0	3.13548	0	812.714	918.214	2.56382	541.562	1.41714	1.15975	1.81253	0	0.997406	1.13153
Zosma100g00140	0	0	0	0	0	0	0	0	0	0	0	0	0	315.242	297.86	17.0922	191.379	0	0.579875	0	0	0	0
Zosma100g00150	6195.37	5334.06	6806.74	6834.82	8375.58	5586	9190.66	14054.9	9051.53	8949.99	7953.05	11325.3	7717.37	10337.2	8470.71	3110.77	7818.85	2981.66	6626.81	3526.27	4620.74	2944.34	1887.4
Zosma100g00160	34.0218	44.5042	34.5759	42.2384	60.9872	30.674	44.463	99.392	136.157	70.2921	138.782	62.7096	751.836	25.2726	26.8746	77.7693	45.6052	36.8456	30.1535	49.8445	21.6091	37.9014	20.3676
Zosma100g00180	755.284	1199.86	765.386	1198.27	1891.33	1313.65	70.8114	72.2851	105.739	255.013	150.212	89.3611	233.035	4104.8	2809.14	401.666	1478.91	116.205	3315.15	280.035	4792.71	170.556	810.179
Zosma100g00200	559.999	440.357	453.678	545.85	488.624	507.454	1487.04	1540.58	1865.64	1567.68	2042.55	1860.91	1331.87	923.115	996.598	634.974	888.487	1404.38	570.597	1443.68	753.616	1391.38	1007.07
Zosma100g00220	78.2502	200.269	81.7249	128.665	230.154	224.72	62.5775	63.2494	105.739	83.3697	94.6986	61.1418	40.8236	19.9521	20.1559	12.8191	3.25751	15.5885	139.17	40.7819	64.8272	16.9559	2.26307
Zosma100g00230	223.183	436.258	246.746	260.578	379.718	364.087	1714.29	1807.13	2053.94	2009.05	1675.19	2339.07	5317.28	329.209	381.469	30.7659	39.9045	11.3371	485.935	12.6877	186.378	10.9715	37.3406
Zosma100g00240	164.666	127.071	154.544	138.412	159.002	119.362	75.7517	54.2138	47.7997	75.1962	57.1457	119.148	45.9266	127.028	153.036	264.074	184.049	1149.3	182.661	1197.17	307.029	1248.75	428.852
Zosma100g00250	19.7327	15.2251	14.6686	6.49821	14.5208	15.337	87.2791	94.8742	241.896	129.141	187.764	100.335	22.1128	3.99041	3.73258	0	0	0	4.05913	0.906264	0	0.997406	0
Zosma100g00270	17.0109	42.1619	22.0029	30.5416	32.6717	39.3427	92.2195	18.0713	18.8302	6.5388	27.7565	18.8129	28.9168	3.32534	5.97212	0	5.70065	1.41714	19.1359	3.62505	19.8083	0.997406	9.05228
Zosma100g00280	495.358	462.609	542.737	499.713	516.213	415.432	2366.42	5480.11	1499.17	2219.92	1923.36	2909.72	910.027	609.203	619.608	646.084	654.76	826.191	367.641	902.639	514.116	811.889	1205.08
Zosma100g00290	87.0958	87.8372	94.298	94.2241	114.714	78.6854	74.1049	94.8742	98.4964	107.89	125.721	134.826	81.6473	55.2007	58.9747	60.6772	39.9045	34.0113	54.5083	32.6255	24.3102	21.9429	14.71
Zosma100g00300	0	0.585581	0	0	0	0	1.64678	0	0	0	0	6.27096	3.40197	1317.5	1266.84	9.40069	1863.3	1.41714	0.579875	2.71879	0.900378	2.99222	0
Zosma100g00310	23.8153	24.5944	23.0506	19.4946	31.9457	28.6735	100.453	76.8029	185.405	132.411	145.313	164.613	37.4217	13.3014	6.71864	0	3.25751	0	10.4378	0	0	0	0
Zosma100g00320	34.7023	45.6754	45.5774	45.4875	13.0687	26.0062	107.04	22.5891	168.023	112.794	187.764	73.6837	68.0394	244.08	170.952	2.56382	293.176	0	23.7749	0	90.0378	0	0
Zosma100g00330	391.931	160.449	436.39	413.936	193.126	129.364	59.2839	13.5535	63.7329	45.7716	81.6367	31.3548	76.5443	229.449	185.882	57.2587	89.5816	2.83427	365.321	0	108.946	1.99481	0
Zosma100g00340	1.36087	0	1.04776	1.94946	0.726038	0	6.5871	27.1069	13.0363	3.2694	27.7565	3.13548	258.55	1.99521	1.49303	0	0	0	0.579875	0	0	0	0
Zosma100g00350	257.205	309.773	246.223	276.824	336.156	316.742	363.937	356.908	360.671	380.885	351.038	349.606	164.996	226.123	157.515	368.336	271.188	304.684	248.187	275.504	168.371	254.339	162.941
